# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 337                                  -6.487647             0.580508                      -5.907139 
 338                                  -6.484962             0.577818                      -5.907144 
 339                                  -6.482117             0.574967                      -5.907151 
 340                                  -6.479267             0.572118                      -5.907149 
 341                                  -6.476594             0.569447                      -5.907147 
 342                                  -6.474276             0.567129                      -5.907147 
 343                                  -6.472474             0.565323                      -5.907150 
 344                                  -6.471302             0.564154                      -5.907148 
 345                                  -6.470843             0.563688                      -5.907155 
 346                                  -6.471088             0.563925                      -5.907163 
 347                                  -6.471964             0.564794                      -5.907171 
 348                                  -6.473341             0.566164                      -5.907177 
 349                                  -6.475057             0.567873                      -5.907183 
 350                                  -6.476932             0.569745                      -5.907187 
 351                                  -6.478807             0.571619                      -5.907189 
 352                                  -6.480548             0.573363                      -5.907185 
 353                                  -6.482060             0.574889                      -5.907171 
 354                                  -6.483303             0.576154                      -5.907149 
 355                                  -6.484284             0.577163                      -5.907122 
 356                                  -6.485053             0.577957                      -5.907095 
 357                                  -6.485672             0.578605                      -5.907067 
 358                                  -6.486213             0.579178                      -5.907035 
 359                                  -6.486746             0.579740                      -5.907006 
 360                                  -6.487312             0.580331                      -5.906981 
 361                                  -6.487924             0.580963                      -5.906961 
 362                                  -6.488571             0.581624                      -5.906947 
 363                                  -6.489224             0.582286                      -5.906938 
 364                                  -6.489854             0.582918                      -5.906936 
 365                                  -6.490421             0.583492                      -5.906929 
 366                                  -6.490907             0.583987                      -5.906920 
 367                                  -6.491300             0.584390                      -5.906910 
 368                                  -6.491586             0.584688                      -5.906898 
 369                                  -6.491754             0.584866                      -5.906888 
 370                                  -6.491773             0.584897                      -5.906876 
 371                                  -6.491614             0.584747                      -5.906866 
 372                                  -6.491224             0.584372                      -5.906852 
 373                                  -6.490571             0.583727                      -5.906844 
 374                                  -6.489607             0.582776                      -5.906831 
 375                                  -6.488322             0.581510                      -5.906812 
 376                                  -6.486746             0.579959                      -5.906787 
 377                                  -6.484965             0.578203                      -5.906762 
 378                                  -6.483100             0.576369                      -5.906731 
 379                                  -6.481314             0.574615                      -5.906699 
 380                                  -6.479778             0.573110                      -5.906668 
 381                                  -6.478634             0.571997                      -5.906638 
 382                                  -6.477970             0.571365                      -5.906605 
 383                                  -6.477815             0.571236                      -5.906579 
 384                                  -6.478114             0.571561                      -5.906553 
 385                                  -6.478770             0.572241                      -5.906529 
 386                                  -6.479656             0.573148                      -5.906508 
 387                                  -6.480637             0.574152                      -5.906486 
 388                                  -6.481603             0.575137                      -5.906466 
 389                                  -6.482458             0.576012                      -5.906446 
 390                                  -6.483142             0.576715                      -5.906427 
 391                                  -6.483625             0.577215                      -5.906410 
 392                                  -6.483905             0.577508                      -5.906397 
 393                                  -6.483996             0.577611                      -5.906385 
 394                                  -6.483924             0.577553                      -5.906371 
 395                                  -6.483724             0.577371                      -5.906353 
 396                                  -6.483439             0.577106                      -5.906333 
 397                                  -6.483112             0.576800                      -5.906312 
 398                                  -6.482795             0.576500                      -5.906296 
 399                                  -6.482537             0.576256                      -5.906281 
 400                                  -6.482383             0.576120                      -5.906263 
 401                                  -6.482386             0.576134                      -5.906252 
 402                                  -6.482568             0.576317                      -5.906251 
 403                                  -6.482917             0.576658                      -5.906259 
 404                                  -6.483390             0.577109                      -5.906281 
 405                                  -6.483904             0.577593                      -5.906311 
 406                                  -6.484351             0.578009                      -5.906341 
 407                                  -6.484627             0.578252                      -5.906375 
 408                                  -6.484625             0.578222                      -5.906403 
 409                                  -6.484274             0.577840                      -5.906434 
 410                                  -6.483520             0.577057                      -5.906463 
 411                                  -6.482345             0.575859                      -5.906486 
 412                                  -6.480784             0.574271                      -5.906512 
 413                                  -6.478897             0.572362                      -5.906535 
 414                                  -6.476790             0.570240                      -5.906550 
 415                                  -6.474617             0.568048                      -5.906569 
 416                                  -6.472544             0.565957                      -5.906586 
 417                                  -6.470755             0.564148                      -5.906607 
 418                                  -6.469421             0.562794                      -5.906627 
 419                                  -6.468688             0.562044                      -5.906644 
 420                                  -6.468664             0.562002                      -5.906661 
 421                                  -6.469400             0.562717                      -5.906683 
 422                                  -6.470879             0.564168                      -5.906711 
 423                                  -6.472996             0.566262                      -5.906734 
 424                                  -6.475599             0.568846                      -5.906753 
 425                                  -6.478495             0.571726                      -5.906769 
 426                                  -6.481471             0.574688                      -5.906783 
 427                                  -6.484318             0.577527                      -5.906791 
