# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 316                                  -6.548095             0.509155                      -6.038940 
 317                                  -6.546834             0.507902                      -6.038932 
 318                                  -6.545723             0.506783                      -6.038941 
 319                                  -6.544450             0.505501                      -6.038949 
 320                                  -6.542717             0.503753                      -6.038965 
 321                                  -6.540258             0.501277                      -6.038981 
 322                                  -6.536891             0.497898                      -6.038992 
 323                                  -6.532547             0.493567                      -6.038979 
 324                                  -6.527333             0.488379                      -6.038954 
 325                                  -6.521492             0.482579                      -6.038913 
 326                                  -6.515397             0.476543                      -6.038854 
 327                                  -6.509530             0.470723                      -6.038807 
 328                                  -6.504338             0.465571                      -6.038766 
 329                                  -6.500182             0.461445                      -6.038737 
 330                                  -6.497256             0.458537                      -6.038720 
 331                                  -6.495547             0.456840                      -6.038707 
 332                                  -6.494882             0.456179                      -6.038704 
 333                                  -6.494959             0.456267                      -6.038692 
 334                                  -6.495481             0.456791                      -6.038690 
 335                                  -6.496146             0.457474                      -6.038672 
 336                                  -6.496759             0.458118                      -6.038641 
 337                                  -6.497242             0.458618                      -6.038624 
 338                                  -6.497568             0.458959                      -6.038609 
 339                                  -6.497786             0.459195                      -6.038592 
 340                                  -6.497988             0.459422                      -6.038566 
 341                                  -6.498291             0.459756                      -6.038535 
 342                                  -6.498815             0.460307                      -6.038507 
 343                                  -6.499671             0.461165                      -6.038505 
 344                                  -6.500902             0.462391                      -6.038511 
 345                                  -6.502530             0.464013                      -6.038517 
 346                                  -6.504554             0.466030                      -6.038523 
 347                                  -6.506950             0.468417                      -6.038534 
 348                                  -6.509670             0.471126                      -6.038544 
 349                                  -6.512663             0.474092                      -6.038571 
 350                                  -6.515836             0.477231                      -6.038605 
 351                                  -6.519069             0.480433                      -6.038636 
 352                                  -6.522238             0.483569                      -6.038669 
 353                                  -6.525196             0.486500                      -6.038696 
 354                                  -6.527840             0.489104                      -6.038736 
 355                                  -6.530061             0.491296                      -6.038765 
 356                                  -6.531836             0.493057                      -6.038778 
 357                                  -6.533216             0.494446                      -6.038770 
 358                                  -6.534333             0.495593                      -6.038740 
 359                                  -6.535375             0.496675                      -6.038699 
 360                                  -6.536544             0.497888                      -6.038657 
 361                                  -6.538024             0.499396                      -6.038629 
 362                                  -6.539899             0.501308                      -6.038591 
 363                                  -6.542202             0.503656                      -6.038546 
 364                                  -6.544907             0.506398                      -6.038509 
 365                                  -6.547911             0.509435                      -6.038476 
 366                                  -6.551094             0.512635                      -6.038459 
 367                                  -6.554314             0.515863                      -6.038451 
 368                                  -6.557447             0.519000                      -6.038447 
 369                                  -6.560394             0.521951                      -6.038444 
 370                                  -6.563090             0.524649                      -6.038441 
 371                                  -6.565498             0.527055                      -6.038443 
 372                                  -6.567618             0.529151                      -6.038466 
 373                                  -6.569420             0.530935                      -6.038485 
 374                                  -6.570925             0.532418                      -6.038506 
 375                                  -6.572167             0.533627                      -6.038539 
 376                                  -6.573178             0.534603                      -6.038575 
 377                                  -6.574007             0.535399                      -6.038608 
 378                                  -6.574709             0.536081                      -6.038628 
 379                                  -6.575348             0.536720                      -6.038628 
 380                                  -6.576016             0.537386                      -6.038630 
 381                                  -6.576768             0.538137                      -6.038631 
 382                                  -6.577651             0.539014                      -6.038637 
 383                                  -6.578669             0.540029                      -6.038639 
 384                                  -6.579802             0.541164                      -6.038638 
 385                                  -6.580998             0.542362                      -6.038636 
 386                                  -6.582176             0.543538                      -6.038638 
 387                                  -6.583232             0.544580                      -6.038652 
 388                                  -6.584026             0.545362                      -6.038663 
 389                                  -6.584435             0.545769                      -6.038666 
 390                                  -6.584364             0.545709                      -6.038656 
 391                                  -6.583794             0.545139                      -6.038654 
 392                                  -6.582760             0.544084                      -6.038676 
 393                                  -6.581303             0.542636                      -6.038668 
 394                                  -6.579593             0.540951                      -6.038642 
 395                                  -6.577857             0.539223                      -6.038633 
 396                                  -6.576264             0.537649                      -6.038615 
 397                                  -6.574982             0.536386                      -6.038595 
 398                                  -6.574107             0.535526                      -6.038581 
 399                                  -6.573652             0.535076                      -6.038576 
 400                                  -6.573552             0.534971                      -6.038581 
 401                                  -6.573675             0.535097                      -6.038578 
 402                                  -6.573910             0.535326                      -6.038584 
 403                                  -6.574137             0.535551                      -6.038586 
 404                                  -6.574277             0.535703                      -6.038575 
 405                                  -6.574318             0.535753                      -6.038565 
 406                                  -6.574259             0.535700                      -6.038559 
 407                                  -6.574108             0.535543                      -6.038565 
 408                                  -6.573852             0.535267                      -6.038585 
 409                                  -6.573439             0.534829                      -6.038610 
 410                                  -6.572810             0.534170                      -6.038640 
 411                                  -6.571885             0.533233                      -6.038653 
 412                                  -6.570631             0.531986                      -6.038645 
 413                                  -6.569076             0.530443                      -6.038632 
 414                                  -6.567267             0.528662                      -6.038605 
 415                                  -6.565323             0.526736                      -6.038586 
 416                                  -6.563356             0.524771                      -6.038585 
 417                                  -6.561451             0.522858                      -6.038593 
 418                                  -6.559648             0.521056                      -6.038592 
 419                                  -6.557960             0.519381                      -6.038578 
 420                                  -6.556371             0.517807                      -6.038564 
 421                                  -6.554816             0.516275                      -6.038541 
 422                                  -6.553218             0.514702                      -6.038516 
 423                                  -6.551493             0.513003                      -6.038490 
 424                                  -6.549559             0.511097                      -6.038462 
 425                                  -6.547359             0.508932                      -6.038427 
 426                                  -6.544883             0.506499                      -6.038384 
 427                                  -6.542182             0.503841                      -6.038341 
 428                                  -6.539353             0.501054                      -6.038299 
 429                                  -6.536550             0.498270                      -6.038280 
 430                                  -6.533871             0.495617                      -6.038254 
 431                                  -6.531418             0.493179                      -6.038239 
 432                                  -6.529192             0.490961                      -6.038230 
 433                                  -6.527110             0.488885                      -6.038225 
 434                                  -6.525017             0.486808                      -6.038209 
 435                                  -6.522771             0.484570                      -6.038201 
 436                                  -6.520242             0.482041                      -6.038200 
 437                                  -6.517366             0.479158                      -6.038209 
 438                                  -6.514176             0.475933                      -6.038243 
 439                                  -6.510721             0.472449                      -6.038271 
 440                                  -6.507132             0.468835                      -6.038297 
 441                                  -6.503560             0.465226                      -6.038333 
 442                                  -6.500119             0.461741                      -6.038378 
